imdb_id,age
tt0114709,kid
tt0113497,kid
tt0114885,adult
tt0113277,adult
tt0114576,adult
tt0113189,teen
tt0112346,teen
tt0113987,adult
tt0112760,teen
tt0112641,adult
tt0114388,kid
tt0113101,adult
tt0112281,teen
tt0113845,adult
tt0113161,adult
tt0112401,adult
tt0113627,adult
tt0114011,teen
tt0112682,adult
tt0114746,adult
tt0112431,kid
tt0112818,adult
tt0113855,teen
tt0114681,adult
tt0113347,teen
tt0114369,adult
tt0114148,kid
tt0114814,adult
tt0113819,adult
tt0113118,adult
tt0116367,adult
tt0113010,adult
tt0115676,kid
tt0114367,adult
tt0114660,adult
tt0118158,teen
tt0113972,adult
tt0117002,adult
tt0114825,adult
tt0115759,adult
tt0115734,adult
tt0116483,teen
tt0112579,teen
tt0112573,adult
tt0075314,adult
tt0113326,adult
tt0114536,teen
tt0103859,adult
tt0116324,adult
tt0113451,adult
tt0115685,adult
tt0112442,adult
tt0112427,adult
tt0112384,kid
tt0114287,adult
tt0112462,teen
tt0112541,adult
tt0109370,kid
tt0112642,kid
tt0112688,adult
tt0112715,teen
tt0112740,adult
tt0112851,adult
tt0112857,adult
tt0112864,adult
tt0113071,teen
tt0113243,teen
tt0113481,adult
tt0113492,adult
tt0113540,na
tt0113677,adult
tt0113749,adult
tt0113820,kid
tt0110604,adult
tt0113957,teen
tt0114095,adult
tt0114194,adult
tt0114345,adult
tt0114436,na
tt0114478,adult
tt0114508,adult
tt0114558,adult
tt0114666,adult
tt0114781,adult
tt0114887,teen
tt0114898,teen
tt0111579,adult
tt0112471,adult
tt0112508,teen
tt0112571,adult
tt0109445,adult
tt0112883,teen
tt0109635,adult
tt0109686,teen
tt0109707,adult
tt0113303,adult
tt0110057,teen
tt0110005,adult
tt0110066,kid
tt0110148,adult
tt0113463,teen
tt0110216,teen
tt0076759,kid
tt0103994,adult
tt0110322,adult
tt0113691,adult
tt0109836,adult
tt0113808,teen
tt0110638,teen
tt0110632,adult
tt0114069,adult
tt0110413,adult
tt0114113,adult
tt0110912,adult
tt0105652,na
tt0114214,adult
tt0114296,kid
tt0110907,adult
tt0111333,kid
tt0111255,adult
tt0111282,teen
tt0111070,kid
tt0111161,adult
tt0114614,adult
tt0111280,kid
tt0114609,adult
tt0108550,teen
tt0114857,adult
tt0114924,kid
tt0110598,adult
tt0109040,teen
tt0104779,adult
tt0109444,teen
tt0109446,teen
tt0109506,adult
tt0109813,kid
tt0109830,teen
tt0109831,adult
tt0110093,kid
tt0110357,kid
tt0107426,kid
tt0111686,adult
tt0110475,teen
tt0110622,teen
tt0110950,teen
tt0105226,adult
tt0111257,adult
tt0111438,adult
tt0111503,adult
tt0111756,teen
tt0110399,adult
tt0110186,na
tt0111301,teen
tt0110027,teen
tt0113409,adult
tt0106226,kid
tt0109067,kid
tt0109254,adult
tt0106452,adult
tt0106489,adult
tt0106505,teen
tt0106519,adult
tt0106582,adult
tt0109456,adult
tt0106677,adult
tt0106697,adult
tt0106941,kid
tt0106918,adult
tt0106965,kid
tt0106977,teen
tt0107004,teen
tt0107076,adult
tt0107144,teen
tt0107206,adult
tt0107207,adult
tt0107290,teen
tt0107302,adult
tt0110265,adult
tt0107362,teen
tt0107507,kid
tt0107554,adult
tt0116253,adult
tt0107614,teen
tt0110657,kid
tt0110678,adult
tt0107808,adult
tt0107818,teen
tt0107822,adult
tt0107840,adult
tt0110955,adult
tt0107943,kid
tt0110971,teen
tt0107978,teen
tt0107977,teen
tt0107983,adult
tt0108000,adult
tt0108002,kid
tt0108052,adult
tt0111127,adult
tt0111143,teen
tt0108160,kid
tt0108162,adult
tt0083658,adult
tt0108174,teen
tt0108255,kid
tt0111323,adult
tt0111400,teen
tt0107688,kid
tt0108333,kid
tt0108358,adult
tt0108399,adult
tt0110763,kid
tt0099785,kid
tt0099653,teen
tt0103639,kid
tt0103064,adult
tt0099348,teen
tt0096895,teen
tt0102926,adult
tt0029583,kid
tt0101414,kid
tt0032910,na
tt0100405,adult
tt0065214,adult
tt0116282,adult
tt0116514,adult
tt0065421,kid
tt0117381,adult
tt0116414,adult
tt0115956,adult
tt0117060,teen
tt0116136,teen
tt0116683,kid
tt0116269,adult
tt0117705,kid
tt0062711,kid
tt0117104,teen
tt0117420,teen
tt0095776,kid
tt0116322,kid
tt0113362,adult
tt0115963,adult
tt0117260,adult
tt0117500,adult
tt0117998,teen
tt0115571,teen
tt0057012,kid
tt0117331,kid
tt0117765,adult
tt0116669,teen
tt0117951,adult
tt0116629,teen
tt0116277,adult
tt0116583,kid
tt0115798,teen
tt0116778,teen
tt0116213,adult
tt0117218,teen
tt0116040,teen
tt0116365,adult
tt0116905,adult
tt0117333,kid
tt0117628,adult
tt0117913,adult
tt0116320,adult
tt0116707,teen
tt0116313,kid
tt0117438,adult
tt0115857,teen
tt0117008,kid
tt0116191,kid
tt0115986,adult
tt0117826,adult
tt0117718,teen
tt0116225,adult
tt0115632,adult
tt0117918,adult
tt0104109,kid
tt0068646,adult
tt0104558,adult
tt0116985,adult
tt0115736,adult
tt0120004,adult
tt0116654,teen
tt0115783,adult
tt0113253,adult
tt0045152,na
tt0043278,na
tt0054698,na
tt0052357,kid
tt0047396,kid
tt0025316,na
tt0053125,na
tt0053604,na
tt0053291,na
tt0056923,na
tt0034583,kid
tt0033870,na
tt0058385,kid
tt0047437,na
tt0046250,na
tt0032138,na
tt0031381,na
tt0043014,na
tt0033467,kid
tt0062622,kid
tt0042192,na
tt0032143,na
tt0032976,na
tt0038787,na
tt0038109,na
tt0048728,na
tt0031725,na
tt0029843,kid
tt0037008,na
tt0027125,na
tt0049261,kid
tt0048028,kid
tt0025878,na
tt0048960,kid
tt0038650,na
tt0031679,na
tt0063350,na
tt0043265,kid
tt0051459,na
tt0022879,na
tt0117011,adult
tt0117039,adult
tt0116830,adult
tt0117603,adult
tt0115994,adult
tt0116259,adult
tt0115862,adult
tt0046672,kid
